id,FirstName,Money,LastName
1,Teresa,498.47,Hanson
2,Michael,893.83,Bell
3,Teresa,31.15,Welch
4,John,664.85,Patterson
5,Mark,168.23,Wood
6,Jose,260.29,Taylor
7,Beverly,948.85,Young
8,Paula,688.64,Burns
9,Melissa,668.00,Brown
10,Cheryl,682.01,Bowman
11,Louise,890.10,Simpson
12,Randy,890.38,Diaz
13,Jimmy,338.27,Nichols
14,Janice,719.66,Berry
15,Angela,634.32,King
16,Doris,113.47,Sullivan
17,Frank,914.41,Anderson
18,Sean,294.04,Kim
19,Donna,585.62,Harvey
20,Patricia,54.27,Alvarez
21,Kelly,484.32,Alexander
22,Frank,964.73,Burke
23,Nancy,719.30,Richards
24,Nicole,613.49,Richards
25,Theresa,369.96,Foster
26,James,447.55,Ross
27,Donald,476.02,Marshall
28,Joe,167.88,Long
29,Kimberly,442.87,Bishop
30,Janet,24.61,Watson
31,Ashley,167.39,Berry
32,Peter,767.96,Williamson
33,Alice,460.28,Hernandez
34,Eugene,927.97,Russell
35,Ashley,236.83,James
36,Arthur,160.01,Rogers
37,Helen,596.44,Mills
38,Wayne,315.81,Olson
39,Debra,647.76,Lane
40,Laura,605.97,Harper
41,Keith,11.48,Daniels
42,Thomas,954.27,Hicks
43,Samuel,911.74,Taylor
44,Evelyn,662.11,Myers
45,Eugene,279.48,Walker
46,Barbara,291.77,Hamilton
47,Judy,144.28,Cook
48,Randy,629.56,Lopez
49,David,217.51,Price
50,Bruce,491.96,Rice
51,Stephen,869.53,Cooper
52,Rose,189.69,Hamilton
53,Heather,450.14,Carter
54,Willie,944.13,Knight
55,Joyce,34.54,Reynolds
56,Randy,765.26,Morales
57,Amy,239.06,Powell
58,Ralph,582.38,Stephens
59,Kelly,953.54,Murphy
60,Phillip,802.32,Flores
61,Cheryl,280.50,Rice
62,Catherine,981.45,Lewis
63,Jeremy,466.01,Murphy
64,Dorothy,848.23,Richards
65,Martin,731.02,Green
66,Todd,241.96,Warren
67,Alan,82.57,Warren
68,Virginia,486.04,Rivera
69,Susan,314.15,Johnson
70,Robert,288.85,Henry
71,Harry,800.83,Powell
72,Phyllis,261.85,Evans
73,Alice,235.76,Bell
74,Anthony,877.40,Lane
75,Jennifer,414.32,Greene
76,Dorothy,652.78,Anderson
77,Howard,685.27,Palmer
78,Sean,723.48,Bowman
79,Joshua,440.22,Burton
80,Kathy,52.99,Jenkins
81,Harold,411.62,Matthews
82,Adam,663.49,Warren
83,Martha,686.48,Gardner
84,Bobby,213.58,Fowler
85,Anthony,106.97,Ferguson
86,Kelly,634.69,Ray
87,Tina,696.85,Reid
88,Christopher,23.79,Robertson
89,David,909.28,Robinson
90,Ernest,351.31,Hughes
91,Phillip,23.39,Stanley
92,Diane,197.89,Kelley
93,Stephen,467.26,Phillips
94,Stephanie,838.14,Wagner
95,Diane,571.13,West
96,Matthew,312.22,Adams
97,Sharon,651.24,Foster
98,Raymond,944.63,Powell
99,Raymond,642.89,Bowman
100,Victor,488.34,Diaz
101,Willie,578.69,Hawkins
102,Rachel,992.98,Price
103,Betty,549.52,Graham
104,Mary,73.72,Gray
105,Marie,453.73,Crawford
106,Philip,604.14,Fowler
107,Louis,687.23,Mccoy
108,Ann,215.00,Anderson
109,Ruby,590.52,Graham
110,Cheryl,443.77,Richardson
111,Howard,745.87,Howard
112,John,85.80,Reed
113,Marilyn,864.05,Oliver
114,Rebecca,793.06,Diaz
115,Susan,488.02,Edwards
116,Janet,268.43,Ortiz
117,Gary,451.04,Owens
118,Todd,802.29,Bell
119,Scott,923.41,Howard
120,Christine,22.20,Berry
121,Virginia,688.34,Lopez
122,Jerry,328.81,Armstrong
123,Susan,131.48,Baker
124,Sean,864.30,Jacobs
125,Debra,831.05,Young
126,Randy,766.03,Rivera
127,Fred,759.97,Spencer
128,Angela,557.36,Wagner
129,Peter,885.61,Rogers
130,Marilyn,371.73,Coleman
131,Louise,772.28,Shaw
132,Johnny,912.88,Gibson
133,Joyce,648.62,Watson
134,Wayne,139.78,Elliott
135,Rachel,597.95,Lewis
136,Albert,518.07,Berry
137,Louis,550.88,Gonzales
138,Mildred,454.85,Hansen
139,Shirley,934.35,Rivera
140,Diane,207.94,Henry
141,Steven,572.60,Garrett
142,Nicholas,534.35,Sims
143,Cheryl,407.43,Gutierrez
144,Ruth,482.84,Matthews
145,Gerald,648.28,Griffin
146,Lois,982.71,Berry
147,Samuel,88.97,Allen
148,Marie,653.33,Davis
